3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045
5743 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654 18654
16730 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045
5125 20357 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898
70 78 78 70 78 69 78 15885 15885 2192 78 78 78 78 70 78 78 78 78 78 78 78 78 78 78 78 2323 2323 2323 2323 2323 2323 2323 2323 2323 2323 14480 2349 2323 2323 2323 2323 2323 2323 2323 2323 2323 2323
20974 18437 3677 16622 9219 70 70 69 69 70 78 78 70 70 78 78 78 78 70 78 70 70 71 78 78 3969 69 78 70 78 78 70 69 78 78 78 78 70 78 78 78 78 78 70 70 78 70 70
3778 3933 14480 14480 14480 14480 14480 14480 14480 14480 14480 3933 14480 14480 2323 2323 2323 2323 2323 2323 2323 2323 2323 2323 2323 78 78 78 78 78 70 70 78 70 16640 70 2323 2323 2323 2323 2323 2323 2323 14480 14480 14480 2323 2323
2319 2319 2319 14480 14480 3933 14480 14480 2323 2323 2323 14480 14480 14480 14480 14480 14480 14480 14480 14480 14480 14480 14480 14480 2323 2323 2323 2323 2323 12715 16640 14558 8354 16484 6 70 14480 2323 2323 2323 2323 2323 2323 2323 2323 2323 2323 2323
11428 22165 21586 21607 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898
16945 215 5711 69 78 69 78 70 78 70 78 70 78 70 70 70 16640 78 78 78 78 70 78 70 70 70 69 78 78 78 70 70 69 78 78 78 70 78 78 78 78 78 78 78 78 3969 5530 78
479 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045 3045
73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73 73
3 197 19461 78 78 78 78 78 70 70 70 70 78 70 78 78 78 78 78 78 78 78 78 70 78 70 78 78 69 78 70 70 78 78 78 78 70 78 78 70 78 78 78 78 78 70 2256 60
3850 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100 19100
1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 1821 3956 14480 3933 14480 14480 14480 14480 2323 2323 2323 2323 14480 14480 14480 14480 14480 14480 14480 14480 14480 14480 14480 14480 3933 3933 14480 14480
8611 7454 21905 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446 2446
15574 70 70 70 15885 15885 14558 78 78 78 78 70 78 70 78 78 78 78 78 78 78 78 78 78 70 78 78 70 78 70 70 78 78 70 15885 15885 70 69 78 78 78 78 78 78 69 52 2256 3
13650 17314 11078 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898
14682 11078 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898
1185 6437 6513 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 9590 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898 18898
